area_fm_id,category,orgao_responsavel,qtd
2,Área mal iluminada com circulação de pedestres,Rio Luz,10
2,Ponto de retenção do tráfego,CET-Rio,9
2,Vegetação encobrindo iluminação pública,COMLURB,5
2,Vegetação obstruindo a visibilidade do passeio,COMLURB,5
2,Mobiliário/estrutura servindo de esconderijo,SECONSERVA,4
2,Motocicletas trafegando no passeio,GM-Rio,4
2,Pessoas em situação de rua,SMAS,4
2,Cena de uso de drogas,SMAS,1
2,Comércio irregular obstruindo a visibilidade do passeio,SEOP,1
2,Lixo/entulho obstruindo a visibilidade,COMLURB,1
2,Mobiliário abandonado servindo de esconderijo,SECONSERVA,1
2,Tapumes servindo de esconderijo,SECONSERVA,1
2,Vãos ou cavidades usados como esconderijo,SECONSERVA,1
9,Vegetação encobrindo iluminação pública,COMLURB,48
9,Pessoas em situação de rua,SMAS,24
9,Área mal iluminada com circulação de pedestres,Rio Luz,21
9,Vegetação obstruindo a visibilidade do passeio,COMLURB,19
9,Ponto de retenção do tráfego,CET-Rio,12
9,Cena de uso de drogas,SMAS,6
9,Estacionamento irregular forçando pedestres à pista,SEOP,6
9,Mobiliário/estrutura servindo de esconderijo,SECONSERVA,5
9,Calçada estreita forçando pedestres à pista,SECONSERVA,4
9,Lixo/entulho obstruindo a visibilidade,COMLURB,4
9,Motocicletas trafegando no passeio,GM-Rio,4
9,Comércio irregular obstruindo a visibilidade do passeio,SEOP,3
9,Área mal iluminada com parada de veículos,Rio Luz,3
9,Lixo/entulho forçando pedestres à pista,COMLURB,2
9,Mobiliário abandonado servindo de esconderijo,SECONSERVA,2
9,Mobiliário urbano desviando pedestres para a pista,SECONSERVA,1
9,Ponto de ônibus com histórico de vandalismo,SMTR,1
9,Veículos de grande porte obstruindo a visibilidade,SEOP,1
9,Vãos ou cavidades usados como esconderijo,SECONSERVA,1
10,Pessoas em situação de rua,SMAS,53
10,Área mal iluminada com circulação de pedestres,Rio Luz,32
10,Vegetação encobrindo iluminação pública,COMLURB,18
10,Vãos ou cavidades usados como esconderijo,SECONSERVA,7
10,Ponto de retenção do tráfego,CET-Rio,6
10,Vegetação obstruindo a visibilidade do passeio,COMLURB,5
10,Mobiliário/estrutura servindo de esconderijo,SECONSERVA,4
10,Cena de uso de drogas,SMAS,3
