area_fm_id,category,qtd
2,Roubo a transeunte,862
2,Roubo em coletivo,698
2,Roubo de aparelho celular,414
9,Roubo a transeunte,537
9,Roubo de aparelho celular,250
9,Roubo em coletivo,34
10,Roubo a transeunte,189
10,Roubo de aparelho celular,104
10,Roubo em coletivo,5
11,Roubo a transeunte,210
11,Roubo de aparelho celular,72
11,Roubo em coletivo,12
12,Roubo a transeunte,251
12,Roubo de aparelho celular,175
12,Roubo em coletivo,31
14,Roubo a transeunte,679
14,Roubo de aparelho celular,390
14,Roubo em coletivo,69
19,Roubo a transeunte,861
19,Roubo de aparelho celular,597
19,Roubo em coletivo,49
20,Roubo a transeunte,2722
20,Roubo de aparelho celular,943
20,Roubo em coletivo,346
