area_fm_id,dia_semana,hora,qtd
2,Domingo,0,14
2,Domingo,1,7
2,Domingo,2,8
2,Domingo,3,8
2,Domingo,4,5
2,Domingo,5,14
2,Domingo,6,11
2,Domingo,7,3
2,Domingo,8,5
2,Domingo,9,2
2,Domingo,10,3
2,Domingo,11,3
2,Domingo,12,5
2,Domingo,13,3
2,Domingo,14,8
2,Domingo,15,8
2,Domingo,16,2
2,Domingo,17,8
2,Domingo,18,18
2,Domingo,19,24
2,Domingo,20,9
2,Domingo,21,21
2,Domingo,22,17
2,Domingo,23,19
2,Quarta,0,10
2,Quarta,1,4
2,Quarta,2,5
2,Quarta,3,3
2,Quarta,4,5
2,Quarta,5,12
2,Quarta,6,18
2,Quarta,7,11
2,Quarta,8,8
2,Quarta,9,4
2,Quarta,10,4
2,Quarta,11,9
2,Quarta,12,12
2,Quarta,13,4
2,Quarta,14,6
2,Quarta,15,5
2,Quarta,16,6
2,Quarta,17,8
2,Quarta,18,25
2,Quarta,19,22
2,Quarta,20,35
2,Quarta,21,27
2,Quarta,22,28
2,Quarta,23,23
2,Quinta,0,9
2,Quinta,1,4
2,Quinta,2,4
2,Quinta,4,10
2,Quinta,5,26
2,Quinta,6,17
2,Quinta,7,8
2,Quinta,8,11
2,Quinta,9,6
2,Quinta,10,4
2,Quinta,11,8
2,Quinta,12,9
2,Quinta,13,8
2,Quinta,14,8
2,Quinta,15,9
2,Quinta,16,8
2,Quinta,17,7
2,Quinta,18,23
2,Quinta,19,31
2,Quinta,20,39
2,Quinta,21,38
2,Quinta,22,25
2,Quinta,23,13
2,Segunda,0,9
2,Segunda,1,5
2,Segunda,2,6
2,Segunda,3,2
2,Segunda,4,7
2,Segunda,5,20
2,Segunda,6,19
2,Segunda,7,12
2,Segunda,8,6
2,Segunda,9,5
2,Segunda,10,2
2,Segunda,11,5
2,Segunda,12,12
2,Segunda,13,6
2,Segunda,14,12
2,Segunda,15,8
2,Segunda,16,13
2,Segunda,17,16
2,Segunda,18,23
2,Segunda,19,32
2,Segunda,20,24
2,Segunda,21,20
2,Segunda,22,20
2,Segunda,23,12
2,Sexta,0,7
2,Sexta,1,5
2,Sexta,2,3
2,Sexta,3,3
2,Sexta,4,15
2,Sexta,5,29
2,Sexta,6,7
2,Sexta,7,16
2,Sexta,8,9
2,Sexta,9,8
2,Sexta,10,3
2,Sexta,11,6
2,Sexta,12,8
2,Sexta,13,5
2,Sexta,14,11
2,Sexta,15,7
2,Sexta,16,8
2,Sexta,17,12
2,Sexta,18,26
2,Sexta,19,38
2,Sexta,20,33
2,Sexta,21,28
2,Sexta,22,22
2,Sexta,23,31
2,Sábado,0,10
2,Sábado,1,1
2,Sábado,2,7
2,Sábado,3,2
2,Sábado,4,2
2,Sábado,5,10
2,Sábado,6,5
2,Sábado,7,5
2,Sábado,8,4
2,Sábado,9,3
2,Sábado,10,3
2,Sábado,11,5
2,Sábado,12,7
2,Sábado,13,5
2,Sábado,14,2
2,Sábado,15,8
2,Sábado,16,5
2,Sábado,17,7
2,Sábado,18,10
2,Sábado,19,15
2,Sábado,20,19
2,Sábado,21,20
2,Sábado,22,21
2,Sábado,23,19
2,Terça,0,13
2,Terça,1,7
2,Terça,2,3
2,Terça,3,1
2,Terça,4,5
2,Terça,5,20
2,Terça,6,21
2,Terça,7,11
2,Terça,8,6
2,Terça,9,5
2,Terça,10,7
2,Terça,11,5
2,Terça,12,8
2,Terça,13,4
2,Terça,14,12
2,Terça,15,7
2,Terça,16,10
2,Terça,17,13
2,Terça,18,21
2,Terça,19,20
2,Terça,20,35
2,Terça,21,23
2,Terça,22,26
2,Terça,23,14
9,Domingo,0,14
9,Domingo,1,8
9,Domingo,2,5
9,Domingo,3,9
9,Domingo,4,6
9,Domingo,5,3
9,Domingo,6,1
9,Domingo,7,1
9,Domingo,10,1
9,Domingo,12,3
9,Domingo,13,3
9,Domingo,15,6
9,Domingo,16,4
9,Domingo,17,2
9,Domingo,18,8
9,Domingo,19,8
9,Domingo,20,5
9,Domingo,21,7
9,Domingo,22,15
9,Domingo,23,9
9,Quarta,0,6
9,Quarta,1,1
9,Quarta,2,2
9,Quarta,4,1
9,Quarta,5,1
9,Quarta,6,2
9,Quarta,7,4
9,Quarta,8,4
9,Quarta,9,3
9,Quarta,10,2
9,Quarta,11,1
9,Quarta,12,6
9,Quarta,13,3
9,Quarta,14,6
9,Quarta,15,2
9,Quarta,16,1
9,Quarta,17,9
9,Quarta,18,2
9,Quarta,19,9
9,Quarta,20,13
9,Quarta,21,8
9,Quarta,22,6
9,Quarta,23,6
9,Quinta,0,7
9,Quinta,1,7
9,Quinta,2,9
9,Quinta,3,1
9,Quinta,4,2
9,Quinta,5,2
9,Quinta,6,1
9,Quinta,7,3
9,Quinta,8,4
9,Quinta,10,1
9,Quinta,11,5
9,Quinta,12,7
9,Quinta,13,8
9,Quinta,14,5
9,Quinta,15,2
9,Quinta,16,2
9,Quinta,17,4
9,Quinta,18,8
9,Quinta,19,10
9,Quinta,20,8
9,Quinta,21,2
9,Quinta,22,9
9,Quinta,23,11
9,Segunda,0,2
9,Segunda,1,6
9,Segunda,2,5
9,Segunda,3,2
9,Segunda,4,1
9,Segunda,5,3
9,Segunda,6,4
9,Segunda,7,3
9,Segunda,8,4
9,Segunda,9,4
9,Segunda,10,1
9,Segunda,11,3
9,Segunda,12,1
9,Segunda,13,2
9,Segunda,14,7
9,Segunda,15,6
9,Segunda,16,2
9,Segunda,17,1
9,Segunda,18,7
9,Segunda,19,16
9,Segunda,20,16
9,Segunda,21,6
9,Segunda,22,6
9,Segunda,23,16
9,Sexta,0,4
9,Sexta,1,12
9,Sexta,2,8
9,Sexta,3,2
9,Sexta,4,6
9,Sexta,5,5
9,Sexta,6,1
9,Sexta,7,2
9,Sexta,8,6
9,Sexta,9,2
9,Sexta,10,3
9,Sexta,11,2
9,Sexta,12,3
9,Sexta,13,7
9,Sexta,14,5
9,Sexta,15,2
9,Sexta,16,4
9,Sexta,17,6
9,Sexta,18,9
9,Sexta,19,7
9,Sexta,20,9
9,Sexta,21,4
9,Sexta,22,9
9,Sexta,23,17
9,Sábado,0,9
9,Sábado,1,12
9,Sábado,2,16
9,Sábado,3,8
9,Sábado,4,3
9,Sábado,5,7
9,Sábado,6,1
9,Sábado,7,2
9,Sábado,8,1
9,Sábado,9,2
9,Sábado,10,1
9,Sábado,11,4
9,Sábado,12,5
9,Sábado,13,1
9,Sábado,14,1
9,Sábado,15,2
9,Sábado,16,5
9,Sábado,17,3
9,Sábado,18,3
9,Sábado,19,3
9,Sábado,20,3
9,Sábado,21,10
9,Sábado,22,8
9,Sábado,23,17
9,Terça,0,5
9,Terça,1,3
9,Terça,2,3
9,Terça,3,1
9,Terça,4,5
9,Terça,6,4
9,Terça,7,7
9,Terça,8,6
9,Terça,9,1
9,Terça,10,2
9,Terça,11,6
9,Terça,12,1
9,Terça,13,7
9,Terça,14,6
9,Terça,15,5
9,Terça,16,2
9,Terça,17,4
9,Terça,18,6
9,Terça,19,7
9,Terça,20,5
9,Terça,21,7
9,Terça,22,3
9,Terça,23,5
10,Domingo,0,1
10,Domingo,1,1
10,Domingo,3,2
10,Domingo,4,2
10,Domingo,5,3
10,Domingo,10,2
10,Domingo,11,2
10,Domingo,13,4
10,Domingo,14,9
10,Domingo,15,3
10,Domingo,16,2
10,Domingo,17,3
10,Domingo,18,2
10,Domingo,19,8
10,Domingo,20,6
10,Domingo,21,3
10,Domingo,22,5
10,Domingo,23,2
10,Quarta,0,1
10,Quarta,1,1
10,Quarta,2,1
10,Quarta,3,3
10,Quarta,6,1
10,Quarta,7,1
10,Quarta,8,2
10,Quarta,9,2
10,Quarta,12,1
10,Quarta,13,1
