area_fm_id,bairro,ano,n_pessoas,area_fm_nome
,Abolição,2022,2,
,Acari,2020,3,
,Acari,2024,24,
,Alto da Boa Vista,2020,1,
,Alto da Boa Vista,2022,12,
,Anchieta,2020,7,
,Anchieta,2022,6,
,Anchieta,2024,4,
,Andaraí,2020,14,
,Andaraí,2022,8,
,Andaraí,2024,2,
,Anil,2020,9,
,Anil,2022,3,
,Bancários,2022,27,
,Bangu,2020,195,
,Bangu,2022,118,
,Bangu,2024,182,
,Barra Olímpica,2024,14,
,Barra da Tijuca,2020,108,
,Barra da Tijuca,2022,59,
,Barra da Tijuca,2024,52,
,Barra de Guaratiba,2020,1,
,Benfica,2020,38,
,Benfica,2022,34,
,Benfica,2024,50,
,Bento Ribeiro,2020,2,
,Bento Ribeiro,2022,13,
,Bonsucesso,2020,64,
,Bonsucesso,2022,65,
,Bonsucesso,2024,76,
,Botafogo,2020,22,
,Botafogo,2022,41,
,Botafogo,2024,35,
,Brás de Pina,2020,3,
,Cachambi,2020,19,
,Cachambi,2022,2,
,Cachambi,2024,25,
,Cacuia,2020,17,
,Cacuia,2022,12,
,Cacuia,2024,1,
,Caju,2020,2,
,Caju,2022,1,
,Camorim,2020,4,
,Campinho,2020,1,
,Campinho,2022,12,
,Campinho,2024,2,
,Campo Grande,2020,129,
,Campo Grande,2022,50,
,Campo Grande,2024,43,
,Cascadura,2020,59,
,Cascadura,2022,25,
,Cascadura,2024,606,
,Catete,2020,122,
,Catete,2022,150,
,Catete,2024,24,
,Catumbi,2020,13,
,Catumbi,2022,20,
,Catumbi,2024,25,
,Cavalcanti,2020,1,
,Centro,2020,977,
,Centro,2022,654,
,Centro,2024,850,
,Cidade Nova,2020,96,
,Cidade Universitária,2020,17,
,Cidade Universitária,2022,11,
,Cidade Universitária,2024,11,
,Cidade de Deus,2020,22,
,Cidade de Deus,2022,49,
,Cidade de Deus,2024,38,
,Cocotá,2020,23,
,Cocotá,2022,23,
,Cocotá,2024,10,
,Coelho Neto,2020,2,
,Coelho Neto,2022,8,
,Coelho Neto,2024,3,
,Colégio,2020,5,
,Colégio,2022,2,
