territorio_id,nome_territorio,dominio_orcrim,area_fm_ids,geom_quality,geometry_wkt
3,FAVELA DAS ALMAS,ADA,,ok,"POLYGON ((-43.44969 -22.886694, -43.449154 -22.886457, -43.449025 -22.885903, -43.448596 -22.88535, -43.450784 -22.883649, -43.44984 -22.883195, -43.451192 -22.882127, -43.451514 -22.880783, -43.452694 -22.880882, -43.452952 -22.881554, -43.452716 -22.882562, -43.452179 -22.884005, -43.452244 -22.885448, -43.451707 -22.885666, -43.451407 -22.885784, -43.451578 -22.886575, -43.450827 -22.88705, -43.44969 -22.886694))"
5,COHAB REALENGO,ADA,,ok,"POLYGON ((-43.430131 -22.884747, -43.428876 -22.883966, -43.427803 -22.885023, -43.425604 -22.887326, -43.423941 -22.886121, -43.426119 -22.88363, -43.428447 -22.881149, -43.42864 -22.881228, -43.429305 -22.88272, -43.429413 -22.883027, -43.429938 -22.883561, -43.430249 -22.88449, -43.430131 -22.884747))"
7,FAVELA DO SOBRAL,ADA,,ok,"POLYGON ((-43.406713 -22.881766, -43.405898 -22.881528, -43.40519 -22.882339, -43.405211 -22.882774, -43.404503 -22.882794, -43.403452 -22.881983, -43.403795 -22.880935, -43.402164 -22.880164, -43.40431 -22.877832, -43.404353 -22.877397, -43.404868 -22.87714, -43.406284 -22.877258, -43.407507 -22.879729, -43.408301 -22.879492, -43.40873 -22.880797, -43.408001 -22.880935, -43.407786 -22.881311, -43.406713 -22.881766))"
8,FAVELA DA LIGHT,ADA,,ok,"POLYGON ((-43.429278 -22.894898, -43.429106 -22.895125, -43.428529 -22.894559, -43.428777 -22.894341, -43.428654 -22.894098, -43.428371 -22.894014, -43.427941 -22.894172, -43.426952 -22.893373, -43.426585 -22.892763, -43.426008 -22.892877, -43.425656 -22.892467, -43.425388 -22.892481, -43.425131 -22.89256, -43.424594 -22.892847, -43.424251 -22.893064, -43.423758 -22.892847, -43.423393 -22.893005, -43.423189 -22.892708, -43.423253 -22.892471, -43.423554 -22.892491, -43.423811 -22.892219, -43.425099 -22.890825, -43.425271 -22.890944, -43.426644 -22.889388, -43.430645 -22.893064, -43.430109 -22.893776, -43.430168 -22.893855, -43.429278 -22.894898))"
9,JARDIM NOVO,ADA,,ok,"POLYGON ((-43.423374 -22.898096, -43.422902 -22.898096, -43.422452 -22.898511, -43.42155 -22.898452, -43.420799 -22.89865, -43.420564 -22.898056, -43.419898 -22.897464, -43.419083 -22.897226, -43.418096 -22.897365, -43.417795 -22.89693, -43.417989 -22.896574, -43.417259 -22.896277, -43.416658 -22.896198, -43.41595 -22.895447, -43.415306 -22.895309, -43.415027 -22.894854, -43.414791 -22.894479, -43.415049 -22.894044, -43.414834 -22.893629, -43.414834 -22.892838, -43.414384 -22.892917, -43.413997 -22.89349, -43.413697 -22.893688, -43.413268 -22.893569, -43.412903 -22.892957, -43.412152 -22.89268, -43.411573 -22.892087, -43.411938 -22.891494, -43.412023 -22.890861, -43.412431 -22.890901, -43.412688 -22.890782, -43.412544 -22.889949, -43.414346 -22.88904, -43.415457 -22.890387, -43.41698 -22.891612, -43.418032 -22.892561, -43.418589 -22.892502, -43.419727 -22.892087, -43.420306 -22.89179, -43.420735 -22.892008, -43.420799 -22.892621, -43.42095 -22.893075, -43.421658 -22.89349, -43.422366 -22.893767, -43.422623 -22.894222, -43.422945 -22.894815, -43.423546 -22.895428, -43.42361 -22.896001, -43.423675 -22.896515, -43.42404 -22.897226, -43.424426 -22.897424, -43.424705 -22.897661, -43.424555 -22.898096, -43.42419 -22.897898, -43.423374 -22.898096))"
10,VILA BRASIL,ADA,,ok,"POLYGON ((-43.41136 -22.871773, -43.411055 -22.872218, -43.41084 -22.872648, -43.410674 -22.873202, -43.410202 -22.874274, -43.409874 -22.875218, -43.409172 -22.875055, -43.409086 -22.875347, -43.40959 -22.87549, -43.409574 -22.875609, -43.409789 -22.875678, -43.409488 -22.876454, -43.408828 -22.876306, -43.408705 -22.876741, -43.408156 -22.876686, -43.408158 -22.876434, -43.407359 -22.876212, -43.407697 -22.875124, -43.408512 -22.875327, -43.408614 -22.874927, -43.408356 -22.874858, -43.408335 -22.874947, -43.408211 -22.874947, -43.408152 -22.874981, -43.408029 -22.874971, -43.408024 -22.87505, -43.407745 -22.875001, -43.407648 -22.875045, -43.407278 -22.876232, -43.407342 -22.876582, -43.406082 -22.876548, -43.40554 -22.876513, -43.405293 -22.87637, -43.407128 -22.874126, -43.407455 -22.873741, -43.408319 -22.872895, -43.409912 -22.873118, -43.410062 -22.872599, -43.409295 -22.872515, -43.408786 -22.872431, -43.41003 -22.87119, -43.410432 -22.871442, -43.410529 -22.871343, -43.410722 -22.871422, -43.41136 -22.871773))"
11,VILA MALLET,ADA,,ok,"POLYGON ((-43.414352 -22.883387, -43.413451 -22.882754, -43.412807 -22.881173, -43.414953 -22.879176, -43.416005 -22.878563, -43.417614 -22.879789, -43.41697 -22.880619, -43.414352 -22.883387))"
12,CURRAL DAS EGUAS,ADA,,ok,"POLYGON ((-43.419817 -22.872756, -43.41935 -22.8728, -43.417559 -22.872938, -43.417462 -22.872029, -43.416808 -22.872064, -43.416749 -22.871046, -43.416395 -22.871046, -43.416325 -22.870215, -43.41551 -22.870185, -43.415156 -22.8702, -43.415102 -22.869232, -43.415456 -22.869222, -43.415729 -22.86933, -43.417233 -22.870952, -43.417532 -22.870966, -43.419007 -22.870838, -43.419748 -22.871154, -43.419817 -22.872756))"
18,VILA VINTÉM,ADA,,ok,"POLYGON ((-43.445455 -22.875014, -43.4361 -22.874836, -43.434061 -22.874896, -43.430478 -22.874797, -43.429727 -22.874639, -43.429898 -22.874382, -43.429491 -22.874303, -43.429727 -22.873393, -43.432945 -22.873176, -43.43404 -22.869123, -43.435499 -22.869202, -43.450433 -22.86849, -43.447086 -22.873255, -43.446764 -22.874915, -43.445906 -22.874836, -43.445455 -22.875014))"
19,FAVELA DO FERRO VELHO,ADA,,ok,"POLYGON ((-43.435702 -22.869075, -43.435219 -22.869036, -43.435509 -22.868492, -43.435187 -22.868403, -43.435208 -22.867919, -43.434693 -22.867741, -43.435348 -22.866723, -43.437998 -22.867711, -43.437494 -22.868957, -43.435702 -22.869075))"
20,FAVELA 14 DE JULHO,ADA,,ok,"POLYGON ((-43.414693 -22.875035, -43.412982 -22.87506, -43.412923 -22.874017, -43.413417 -22.874002, -43.414009 -22.874014, -43.414023 -22.873906, -43.414414 -22.873906, -43.414439 -22.873794, -43.415112 -22.873827, -43.415128 -22.873854, -43.414693 -22.875035))"
22,BATAN,ADA,,ok,"POLYGON ((-43.42584 -22.865381, -43.425036 -22.86549, -43.424885 -22.864985, -43.423845 -22.865015, -43.422504 -22.864867, -43.42223 -22.864056, -43.422973 -22.863898, -43.422754 -22.863562, -43.422527 -22.863384, -43.422263 -22.863265, -43.422002 -22.863236, -43.421765 -22.86327, -43.421732 -22.86309, -43.422176 -22.863108, -43.422184 -22.86288, -43.422253 -22.862598, -43.422201 -22.862368, -43.421671 -22.862283, -43.421674 -22.862013, -43.421087 -22.861871, -43.421334 -22.860784, -43.42215 -22.860052, -43.422799 -22.859963, -43.424572 -22.860057, -43.43026 -22.858866, -43.431087 -22.858728, -43.42893 -22.861446, -43.433683 -22.861762, -43.433747 -22.861466, -43.434102 -22.861061, -43.435164 -22.861891, -43.435303 -22.862089, -43.435078 -22.863789, -43.42584 -22.865381))"
24,FAVELA VILA BRASIL,ADA,,ok,"POLYGON ((-43.40976 -22.882326, -43.409325 -22.882597, -43.408714 -22.880719, -43.408108 -22.878663, -43.407593 -22.877141, -43.407485 -22.876642, -43.407786 -22.876652, -43.408156 -22.876686, -43.408118 -22.876874, -43.408537 -22.876988, -43.409406 -22.877087, -43.409395 -22.87725, -43.40976 -22.882326))"
30,COMUNIDADE DOM JOAO IV,ADA,,ok,"POLYGON ((-43.451511 -22.894508, -43.450849 -22.895036, -43.451124 -22.895017, -43.451226 -22.895175, -43.451355 -22.895324, -43.451237 -22.895393, -43.451114 -22.895605, -43.450996 -22.895674, -43.450722 -22.895689, -43.450738 -22.895511, -43.450883 -22.895383, -43.450722 -22.895254, -43.450668 -22.895353, -43.45054 -22.895408, -43.450395 -22.895338, -43.450175 -22.895472, -43.44981 -22.895561, -43.449617 -22.895467, -43.449381 -22.895086, -43.448898 -22.894533, -43.448904 -22.89437, -43.449365 -22.893935, -43.449767 -22.893752, -43.450202 -22.893688, -43.450717 -22.893752, -43.451098 -22.894039, -43.451457 -22.894429, -43.451511 -22.894508))"
