fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
cameras:0,cameras,suporte,-22.9093709,-43.1802171,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""8f30106e-358f-4e8f-b94a-dc748e9624a9"", ""id_trecho"": ""203724"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,0,2026-05-24T15:59:59+00:00
cameras:1,cameras,suporte,-22.9040985,-43.1823302,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""e1d1a5e7-159f-487b-91df-6d660e6b5cba"", ""id_trecho"": ""46564"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,1,2026-05-24T15:59:59+00:00
cameras:2,cameras,suporte,-22.9018279,-43.1805286,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""39623659-3247-4232-aca8-d885c9d10181"", ""id_trecho"": ""306043"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,2,2026-05-24T15:59:59+00:00
cameras:3,cameras,suporte,-22.9105186,-43.1765194,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""62b1d57c-1085-44f9-8fa4-f0225cbc96e4"", ""id_trecho"": ""70354"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,3,2026-05-24T15:59:59+00:00
cameras:4,cameras,suporte,-22.9048313,-43.1830705,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""dfabd902-d188-4a6d-b983-503c08c35836"", ""id_trecho"": ""51517"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,4,2026-05-24T15:59:59+00:00
cameras:5,cameras,suporte,-22.9016491,-43.1810206,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""68579d97-c3f3-41e6-8988-734f648c6f28"", ""id_trecho"": ""70067"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,5,2026-05-24T15:59:59+00:00
cameras:6,cameras,suporte,-22.9062795,-43.1822212,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""ce5f7410-3262-48f6-9955-a6465912bcb9"", ""id_trecho"": ""305635"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,6,2026-05-24T15:59:59+00:00
cameras:7,cameras,suporte,-22.9045134,-43.1807187,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""104ce8e2-c0b0-40b3-a231-165c0fc6435b"", ""id_trecho"": ""70299"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,7,2026-05-24T15:59:59+00:00
cameras:8,cameras,suporte,-22.9050571,-43.1813008,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""3b458dd5-f82e-48c9-aca8-d091869f9da6"", ""id_trecho"": ""58749"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,8,2026-05-24T15:59:59+00:00
cameras:9,cameras,suporte,-22.9027989,-43.1809489,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""bc111746-0828-4196-b6be-7b17ea357688"", ""id_trecho"": ""70314"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,9,2026-05-24T15:59:59+00:00
