fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
fatores_urbanos:0,fatores_urbanos,fator_urbano,-22.89158,-43.2742557,ok,,,Meier,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""732"", ""logradouro"": ""Rua Coração de Maria"", ""subarea_nome"": ""Estação Méier - Cachambi"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,0,2026-05-24T15:59:59+00:00
fatores_urbanos:1,fatores_urbanos,fator_urbano,-22.8918781,-43.2745288,ok,,,Meier,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""734"", ""logradouro"": ""Rua Coração de Maria"", ""subarea_nome"": ""Estação Méier - Cachambi"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1,2026-05-24T15:59:59+00:00
fatores_urbanos:2,fatores_urbanos,fator_urbano,-22.858458,-43.3744598,ok,,,Marechal Hermes,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""705"", ""logradouro"": ""Rua Cabrália"", ""subarea_nome"": ""Estação Marechal Hermes"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,2,2026-05-24T15:59:59+00:00
fatores_urbanos:3,fatores_urbanos,fator_urbano,-22.8971718,-43.268882,ok,,,Meier,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""729"", ""logradouro"": ""Rua Miguel Fernandes"", ""subarea_nome"": ""Estação Méier - Cachambi"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,3,2026-05-24T15:59:59+00:00
fatores_urbanos:4,fatores_urbanos,fator_urbano,-22.8887768,-43.2793085,ok,,,Cachambi,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""747"", ""logradouro"": ""Rua Silva Mourão"", ""subarea_nome"": ""Estação Del Castilho - Norte Shopping"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,4,2026-05-24T15:59:59+00:00
fatores_urbanos:5,fatores_urbanos,fator_urbano,-22.8902529,-43.2752983,ok,,,Cachambi,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""742"", ""logradouro"": ""Rua García Redondo"", ""subarea_nome"": ""Estação Méier - Cachambi"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,5,2026-05-24T15:59:59+00:00
fatores_urbanos:6,fatores_urbanos,fator_urbano,-22.9110461,-43.1752216,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,Centro,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""3055"", ""logradouro"": ""Avenida Rio Branco"", ""subarea_nome"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,6,2026-05-24T15:59:59+00:00
fatores_urbanos:7,fatores_urbanos,fator_urbano,-22.9075138,-43.2092311,ok,,,Santo Cristo,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""2356"", ""logradouro"": ""Avenida Francisco Bicalho"", ""subarea_nome"": null, ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,7,2026-05-24T15:59:59+00:00
fatores_urbanos:8,fatores_urbanos,fator_urbano,-22.9815106,-43.3653411,ok,,,Barra da Tijuca,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""856"", ""logradouro"": ""Avenida Ayrton Senna"", ""subarea_nome"": ""Av Ayrton Senna"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,8,2026-05-24T15:59:59+00:00
fatores_urbanos:9,fatores_urbanos,fator_urbano,-22.9920838,-43.3688411,ok,,,Jacarepagua,,,,,Vegetação obstruindo a visibilidade do passeio,COMLURB,"{""id_resposta_ocorrencia"": ""863"", ""logradouro"": ""Avenida Ayrton Senna"", ""subarea_nome"": null, ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,9,2026-05-24T15:59:59+00:00
